2026-03-02 16:03:08,340 | INFO | ==========================================================================================
2026-03-02 16:03:08,340 | INFO | RUN | MODEL=vikhyatk/moondream2 | IMAGE_DIR=C:/Users/nawaa/OneDrive/Desktop/capstoneAI/trainSplit/val_data | DEVICE=cuda
2026-03-02 16:03:08,341 | INFO | ==========================================================================================
2026-03-02 16:03:08,341 | INFO | Loading Moondream2 model and tokenizer …
2026-03-02 16:03:13,659 | INFO | Model loaded.
2026-03-02 16:03:13,662 | INFO | Found 102 images in C:/Users/nawaa/OneDrive/Desktop/capstoneAI/trainSplit/val_data
2026-03-02 16:03:13,673 | INFO | angularVelocity.png: encoding image …
2026-03-02 16:03:14,083 | INFO | angularVelocity.png: generating caption …
2026-03-02 16:03:16,997 | INFO | angularVelocity.png: The image presents a geometric figure, a teal-colored irregular shape, which is the central focus. The shape is divided into three sections by two black lines. The top section is labeled "O'", the middle section is labeled "O", and the bottom section is labeled "P". The shape is connected to the top and bottom sections by two black lines, forming a triangle. The top line is labeled "R" and the bottom line is labeled "R'". The bottom line is labeled "R'". The shape is positioned centrally in the image, with the top and bottom sections extending outwards. The image is devoid of any text or additional objects, and the relative positions of the shapes and lines remain constant.
2026-03-02 16:03:16,999 | INFO | blockDiagram3.png: encoding image …
2026-03-02 16:03:17,198 | INFO | blockDiagram3.png: generating caption …
2026-03-02 16:03:19,533 | INFO | blockDiagram3.png: The image presents a physics problem involving a rectangular block, a force (F), and a surface (W). The block is positioned at the top of a light blue surface, which slopes downwards from left to right. A green arrow labeled "N" points towards the block, indicating the direction of the force. A blue arrow labeled "W" points downwards from the block, indicating the direction of the force. The force (F) is shown to be acting on the block, causing it to slide down the slope. The angle between the force and the surface is approximately 45 degrees.
2026-03-02 16:03:19,538 | INFO | circuitDiagram4.png: encoding image …
2026-03-02 16:03:19,771 | INFO | circuitDiagram4.png: generating caption …
